region_id,year,crop_type,season,rainfall_mm,temp_mean_c,humidity_pct,soil_ph,soil_organic_carbon_pct,nitrogen_kg_ha,fertilizer_kg_ha,irrigation_score,historical_yield_lag1,yield_kg_ha
27,2006,rice,kharif,535.6677517300989,27.704317161738828,76.4055403218023,5.621817544506132,0.44219629669679694,87.18048035235681,167.09317254634638,0.4875461042680852,2584.3701956855202,3050.625530061905
18,2014,soybean,kharif,1198.7051254132657,26.021592778669824,66.2395132223389,6.1427033093571906,0.46418007950852425,82.87856080081198,70.56094487502418,0.42153104191776025,2961.8023764435047,3677.679761588704
42,2015,cotton,rabi,1210.19946935783,24.169806827399864,60.91282701333227,6.942512645784425,0.3408154763448063,64.89041638983582,164.41296643210117,0.796445968491246,3429.404556660592,3545.8838484589082
53,2018,maize,zaid,845.6393008305703,24.050960161635132,82.82748362776897,6.346528283755852,0.5430618399373861,127.79909828930349,135.41578476440085,0.08202508869239278,2998.583203299589,3333.3003934757503
21,2015,maize,zaid,1064.6807046998995,22.255711200676558,62.18484793389741,6.919335229264121,0.5007114584495727,87.49936968300628,144.34494189332943,0.8499284678133147,3462.797657077556,3857.777930372782
61,2008,sugarcane,zaid,902.2382807066881,24.614881138793972,73.28425543538246,5.963045367433179,1.0409223368325957,34.462394220342134,183.15245525019117,0.2125323209942881,2725.1626184668853,3256.35722841067
51,2011,rice,rabi,1003.2198469032705,29.850033024206024,85.49937775022693,7.072164013344138,0.7429662826426643,108.55165074067406,103.05075741287322,0.3507312210201756,3382.4381237605267,3379.625106546494
14,2013,soybean,zaid,697.602926886507,26.855926620458575,72.0232169555592,5.669979429806018,0.4593398677427636,84.14957951383093,138.872696586599,0.8599283744193322,2976.7795033779844,3243.3514174057486
75,2023,wheat,zaid,1086.94837711278,29.35507928272071,50.03490520511585,7.325247384377185,0.3069659240930725,87.53465217235242,153.64852995701466,0.8376545900801674,3633.6635811801384,3994.0463874653124
4,2015,rice,kharif,588.9392493506284,27.806239881861455,47.131726624300555,6.338554069660882,0.24730777137962434,89.14958732811175,126.54449209428014,0.5149047450804946,2673.191342199673,3051.0856522579365
